longitude,Latitude,pH,EC,OC,N,P,K
79.61111154,11.96388919,8.05,0.09,0.23,117,3.75,957.5
79.44888919,11.96416697,7.99,0.06,0.31,133,16.25,1082.5
79.67666716,11.96500032,8.2,0.12,0.35,141,37.5,791.25
79.45027808,11.9713892,7.99,0.11,0.32,133,3.5,725
79.44861141,11.97500031,8.2,0.06,0.3,133,7,1082.5
79.44694474,11.97777809,8.05,0.09,0.35,141,3.5,957.5
79.58888931,11.98111145,8.11,0.07,0.21,117,23.13,902.5
79.59611153,11.98750032,8.06,0.11,0.37,141,10.63,725
79.68944493,11.98777809,8.3,0.18,0.55,173,8.75,500
79.06416697,11.98833367,8.15,0.1,0.37,141,16.25,485
79.57527818,11.98916699,8.05,0.07,0.23,125,3.75,485
79.52583367,11.98944476,8.3,0.19,0.52,165,7,471.25
79.44805585,11.98944477,8.05,0.19,0.42,149,14.38,902.5
79.69472271,11.99250031,8.2,0.2,0.73,197,8.75,362.5
79.52638925,11.99305588,8.15,0.07,0.32,133,37.5,763.75
78.97166701,11.99500058,8.4,0.09,0.4,149,3.5,555
79.25500057,11.99944502,8.5,0.07,0.43,149,3.5,471.25
79.44805585,12.00388922,8.39,0.1,0.21,117,8.75,971.25
81.02194634,12.04361166,7.3,0.08,0.34,133,3.5,60
80.14805684,12.05861173,8.4,0.07,0.43,149,1.75,541.25
80.19277901,12.06527834,7,0.07,0.34,133,5.25,72.5
79.05694486,12.07388953,8.4,0.12,0.46,157,1.75,582.5
79.47055586,12.08083371,8.02,0.23,0.44,149,10.5,777.5
80.29861243,12.08500059,8.2,0.16,0.52,165,7,513.75
79.07583376,12.08638954,8.4,0.09,0.4,149,5.25,457.5
80.35139034,12.08750064,8,0.08,0.37,141,7,500
79.81722327,12.09250065,8.3,0.11,0.4,149,5.25,596.25
79.12666705,12.1288895,7.4,0.08,0.43,149,7,62.5
79.35250056,12.1491673,6.8,0.08,0.4,149,8.75,70
79.56777817,12.15250045,8.06,0.09,0.29,125,23.13,1082.5
79.60083409,12.16138953,7.5,0.08,0.4,149,5.25,75
79.98055662,12.16611175,7.6,0.07,0.34,133,3.5,67.5
79.55111149,12.18444492,8.04,0.13,0.58,173,3.75,957.5
77.20889255,12.18960143,8.4,0.1,0.34,133,7,555
79.72222317,12.20027852,8.2,0.1,0.34,133,7,416.25
79.72361206,12.20027852,8.2,0.1,0.37,141,5.25,485
79.72444539,12.20222296,8.3,0.12,0.37,141,5.25,500
80.4050014,12.20833401,6.9,0.06,0.43,149,7,75
79.99583441,12.26305628,6.9,0.08,0.34,133,10.5,60
79.73194531,12.26722295,7.3,0.09,0.4,149,5.25,70
119.740033,12.28388969,8.3,0.1,0.6,181,12.5,430
86.51889529,12.28500081,8.2,0.08,0.46,157,5.25,416.25
79.84138993,12.29111192,8.3,0.11,0.39,141,7,527.5
80.50277927,12.30777853,7.2,0.06,0.34,133,7,65
79.51305625,12.30888965,7,0.06,0.46,157,7,65
80.32722367,12.31083416,8.5,0.1,0.42,149,5.25,362.5
79.92694547,12.3258341,7.2,0.1,0.4,149,5.25,65
78.93277799,12.33305635,7.9,0.27,0.45,157,5.25,500
79.00416693,12.35611192,8,0.19,0.56,173,5.25,443.75
79.65361191,12.40750067,8.05,0.08,0.37,141,8.75,957.5
79.68250083,12.42277863,6.8,0.06,0.37,141,8.75,75
80.56555676,12.44416736,8.04,0.1,0.51,165,10.63,141.5
78.94166688,12.44638977,8,0.14,0.45,157,8.75,443.75
79.88055663,12.44750094,8.4,0.12,0.36,141,3.5,555
76.71999987,12.44999982,8.5,0.1,0.42,149,5.25,362.5
79.48222256,12.47611183,8.03,0.19,0.21,117,14.38,916.25
77.09999725,12.50000016,8.5,0.09,0.43,149,3.5,513.75
222.1801149,12.57000104,8.4,0.11,0.34,133,3.5,402.5
80.34583468,12.605001,8.1,0.2,0.49,157,10.5,457.5
205.8901019,12.61000106,8.5,0.1,0.45,157,8.75,541.25
79.26111159,12.64222326,7.9,0.39,0.3,133,8.75,555
79.43500029,12.66111199,8.05,0.11,0.05,93,16.25,1082.5
76.3599998,12.66999986,8.3,0.11,0.43,149,7,527.5
75.20947866,12.69899404,8,0.19,0.45,157,5.25,485
79.68083383,12.73861205,8.03,0.11,0.15,109,6.88,957.5
80.53805706,12.84194564,8.1,0.18,0.66,189,5.25,430
81.97222455,12.84472325,8.43,0.08,0.27,125,8.83,902.5
78.8961113,12.85722343,8.1,0.17,0.6,181,8.75,457.5
76.23816561,12.87773157,8.02,0.08,0.37,141,16.25,916.25
95.39001349,12.88805685,8,0.08,0.34,133,12.5,485
76.05319918,12.89662324,8.4,0.18,0.42,149,5.25,457.5
88.82584158,12.91750131,8.2,0.07,0.37,141,10.5,555
78.94500033,12.9188902,8.5,0.08,0.45,157,8.75,500
79.34833398,12.99916805,8.2,0.08,0.37,141,12.5,568.75
91.09501007,13.02944585,8.6,0.11,0.34,133,5.25,568.75
79.00277805,13.09750141,8,0.25,0.26,125,8.75,430
76.06999974,13.1000003,8.4,0.12,0.34,133,3.5,596.25
75.64381958,13.12364392,8.09,0.08,0.49,157,5.25,818.75
76.11911808,13.12780281,8.5,0.11,0.45,157,3.5,568.75
77.348612,13.14000026,8.06,0.06,0.39,133,3.75,1027.5
79.50000034,13.14833458,8.04,0.08,0.39,141,10.63,725
77.10000006,13.25000005,7.4,0.08,0.43,149,7,62.5
77.12999726,13.28999728,7.9,0.39,0.3,133,8.75,555
77.12888614,13.31749729,7.9,0.39,0.3,133,8.75,555
77.91244213,13.31896618,8.4,0.07,0.43,149,1.75,541.25
77.12888614,13.32333062,7.9,0.39,0.3,133,8.75,555
77.16221948,13.32333062,7.9,0.39,0.3,133,8.75,555
77.12999726,13.32333062,7.9,0.39,0.3,133,8.75,555
77.06610113,13.34245202,8.06,0.1,0.58,173,3.75,916.25
80.96805708,13.64972389,8.3,0.1,0.3,133,40,846.25
79.65194492,13.6572239,8.1,0.09,0.41,149,37.5,875
76.0685389,13.70664181,8.4,0.11,0.42,149,7,596.25
78.8444447,13.71889084,8.3,0.12,0.43,149,3.5,443.75
84.42722682,13.7783353,8.1,0.18,0.57,173,6.25,485
77.17286365,13.797721,8.6,0.12,0.57,173,10.5,500
80.07111235,13.84583539,8.4,0.11,0.46,157,8.75,485
78.90333352,13.85916867,8.2,0.14,0.64,181,8.75,443.75
79.4411114,13.91944631,8.08,0.1,0.35,141,18.75,902.5
75.44466204,13.98342409,7.2,0.09,0.4,149,7,70
78.93388912,14.03777993,8.1,0.17,0.46,157,7,527.5
78.19500005,14.070278,7.99,0.11,0.32,133,3.5,725
79.25222279,14.08278002,8.3,0.1,0.37,141,3.5,596.25
79.25500057,14.0855578,8.5,0.08,0.37,141,5.25,513.75
81.39555742,14.15889097,8.1,0.09,0.38,141,12.5,725
80.28666807,14.16278008,8.5,0.12,0.6,181,5.25,388.75
77.46733232,14.22281616,8.4,0.13,0.46,157,7,625
78.91388919,14.23500236,8.5,0.13,0.6,181,8.75,471.25
95.43390233,14.32194681,7,0.05,0.43,149,3.5,55
78.43611141,14.45444474,8.2,0.19,0.72,197,7,388.75
79.29305617,14.64694714,8.5,0.1,0.4,149,5.25,457.5
78.51666803,14.76444571,8.05,0.1,0.32,133,18.75,1027.5
75.3988,14.932,8.4,0.08,0.42,149,8.75,596.25
76.45243954,14.97161631,7.97,0.09,0.54,165,10.5,791.25
75.26214645,14.99634243,8.3,0.08,0.46,157,8.75,541.25
77.29250089,15.09027954,8.04,0.16,0.4,147.5,10.5,943.75
80.33500144,15.1650031,8.6,0.12,0.57,173,10.5,500
76.93881602,15.69453376,7.99,0.1,0.31,133,16.25,1027.5
76.97221825,15.75351126,8.16,0.09,0.27,125,23.13,1055
86.88278436,15.76000351,7.5,0.08,0.37,141,5.25,70
101.9800187,15.98889268,8.3,0.09,0.4,149,3.5,295
77.08550419,16.0271314,8.1,0.23,0.59,173,8.75,500
77.3895748,16.08177503,7.5,0.08,0.37,141,5.25,70
76.3733148,16.48766593,6.8,0.08,0.4,149,8.75,70
89.69084216,16.49750412,8,0.21,0.33,133,7,485
76.18817643,16.60448957,8.01,0.19,0.51,165,25,902.5
76.2194631,16.61509235,8.1,0.09,0.41,149,37.5,875
75.68446597,16.67328764,8.4,0.1,0.43,149,3.5,272.5
75.83491239,16.75140626,7.3,0.09,0.4,149,5.25,70
75.83491239,16.75157904,7.3,0.09,0.4,149,5.25,70
75.70288486,16.78603516,8.5,0.09,0.36,141,5.25,513.75
79.30083385,16.7930599,7.5,0.09,0.37,141,3.5,60
75.74568266,16.97968131,8.01,0.25,0.44,149,7,791.25
79.13000046,16.99000456,8.5,0.12,0.51,165,10.5,513.75
93.05723375,17.00944897,8,0.24,0.33,133,7,443.75
79.3027783,17.0430601,6.9,0.09,0.37,141,5.25,50
75.99569937,17.0827353,8.4,0.13,0.34,133,8.75,596.25
76.62555589,17.12583357,8.2,0.1,0.34,133,7,416.25
75.86677712,17.16720559,8.5,0.12,0.45,157,10.5,555
75.71345543,17.19962199,8.5,0.08,0.45,157,8.75,500
75.81333073,17.32939896,8.4,0.14,0.42,149,1.75,541.25
75.82550517,17.3582723,8.5,0.09,0.4,149,7,582.5
77.79611271,17.4636121,7.5,0.08,0.4,149,5.25,75
80.75277954,17.63889397,8.6,0.1,0.4,149,5.25,541.25
80.01027897,17.77778298,8.4,0.1,0.4,149,5.25,500
77.40500146,18.16611249,8.11,0.08,0.21,117,6.88,916.25
76.23138918,18.17861258,8.4,0.1,0.37,141,5.25,500
77.12777928,18.20416754,8.4,0.09,0.43,149,1.75,527.5
151.7072807,18.21000547,7.4,0.09,0.43,149,7,75
79.77000099,18.26500558,8.5,0.1,0.54,165,10.5,610
76.06944475,18.30139046,8.4,0.19,0.34,133,5.25,568.75
79.97555673,18.33389454,8.5,0.09,0.43,149,3.5,513.75
83.11500368,18.47000576,8.6,0.11,0.4,149,7,471.25
78.77916686,18.64028367,8.3,0.09,0.43,149,5.25,527.5
86.22583948,18.85500605,8.5,0.12,0.31,133,10.5,513.75
79.12555602,18.90500609,8.4,0.13,0.46,157,7,625
115.5100296,18.98000616,8.5,0.12,0.34,133,5.25,513.475
83.65861285,19.56250038,8,0.2,0.36,141,7,500
83.50166828,19.57250039,8,0.2,0.36,141,7,500
83.59805724,19.5825004,8,0.2,0.36,141,7,500
83.24222363,19.58944485,8,0.2,0.36,141,7,500
83.32805703,19.61305598,8,0.2,0.36,141,7,500
83.44777935,19.62833377,8,0.2,0.36,141,7,500
184.0100844,19.70889564,8.3,0.09,0.43,149,3.5,443.75
79.01805584,19.78000675,8,0.13,0.32,133,7,485
79.79722323,19.81000682,8.3,0.14,0.46,157,8.75,568.75
